Course Code,Course Name,Default Category,Proposed Specific Category,File Count,Total Size (MB),Degree Programs,Academic Years,Sample Document Titles
H04S6A,Mechanical Drive Systems,Samenvattingen,Samenvattingen,23,80.67,"Ma - Energy, Ma - Mechanical Engineering, Schakel - Werktuigkunde","2017 - 2018, 2018 - 2019, 2022 - 2023, 2023 - 2024, 2025 - 2026",Formularium; Notas Jeroenbelis; Samenvatting Combustionengines (lukasvandenbroeck)
H04S6A,Mechanical Drive Systems,Samenvattingen,Slides / Lesmateriaal,58,349.28,"Ma - Energy, Ma - Mechanical Engineering, Schakel - Werktuigkunde","2011 - 2012, 2017 - 2018, 2018 - 2019, 2024 - 2025",1 Pneumaticdrives Exercisesession; 1 Pneumaticdrives Exercisesession Solution; 2 Hydraulicdrives Exercisesession
H04S6A,Mechanical Drive Systems,Samenvattingen,Overig / Other,24,60.55,"Ma - Energy, Ma - Mechanical Engineering, Schakel - Werktuigkunde","2011 - 2012, 2014 - 2015, 2017 - 2018, 2018 - 2019, 2019 - 2020",Excel Template Natural Convection Horiz Cylinder Si Units; Foto 11 12 14 18 51 39; Foto 11 12 14 18 51 46
H04T1A,DimensioneleMeettechniek,Samenvattingen,Samenvattingen,1,24.36,Schakel - Werktuigkunde,2018 - 2019,Dimensionelemeettechniek Notasjeroen
H04T5A,GevorderdeVerspanendeTechnieken,Samenvattingen,Samenvattingen,2,22.05,Schakel - Werktuigkunde,2018 - 2019,Kruthgevorderdeverspanendetechnieken Notasjeroen; Lauwersgevorderdeverspanendetechnieken Notasjeroen
H04T7A,Niet-conventionele bewerkingsmethoden,Examens,Examens,2,0.03,Schakel - Werktuigkunde,2018 - 2019,Examenvragen 1; Examenvragen Mark Filip
H04T7A,Niet-conventionele bewerkingsmethoden,Samenvattingen,Overig / Other,7,1.65,Schakel - Werktuigkunde,2018 - 2019,Ecm Korsluitprobleem; Vraag Ajm; Vraag Ebm
H04U0A,Computer Integrated Manufacturing,Examens,Examens,19,94.9,Schakel - Werktuigkunde,2018 - 2019,20160125140503888 Am; 20160125140637495 Am; Examenvragen Cadcam
H04U0A,Computer Integrated Manufacturing,Samenvattingen,Overig / Other,10,78.39,Schakel - Werktuigkunde,2018 - 2019,Cim Ludo; Feature Extractie; Production Systems
H04U0A,Computer Integrated Manufacturing,Samenvattingen,Samenvattingen,16,159.63,Schakel - Werktuigkunde,2018 - 2019,Computerintegratedproduction Notasjeroen; Productionmachinesandsystems Notasjeroen; Cad Cam Samenvatting
H04U1C,Optimization of Mechatronic Systems,Examens,Examens,1,7.06,Ma - Mechanical Engineering,2025 - 2026,Solutions All Theory Questions Toledo (maarten De Baecke)
H04U1C,Optimization of Mechatronic Systems,Oefenzittingen,Oefenzittingen,5,1.25,Ma - Mechanical Engineering,2023 - 2024,S1 Convexity Solution; S1 Convexity; Python Instructions
H04U1C,Optimization of Mechatronic Systems,Samenvattingen,Overig / Other,1,0.0,Ma - Mechanical Engineering,2023 - 2024,See Ma Mathematical Engineering\optimization
H04U3A,Numerical Modelling in Mechanical Engineering,Examens,Examens,15,184.11,Ma - Mechanical Engineering,"2017 - 2018, 2018 - 2019, 2019 - 2020, 2021 - 2022, 2024 - 2025",Exam Fe 2022 (simon Beelen); Examenoplossing 17 01 22 (hendrik De Mulder); Exam Questions Nm
H04U3A,Numerical Modelling in Mechanical Engineering,Oefenzittingen,Oefenzittingen,48,67.81,"Ma - Mechanical Engineering, Schakel - Werktuigkunde","2017 - 2018, 2018 - 2019, 2022 - 2023, 2023 - 2024, 2024 - 2025",Cursus H9x34a Sem1; 0 Warning; Seminar1
H04U3A,Numerical Modelling in Mechanical Engineering,Oefenzittingen,Labo & Code,151,2.7,"Ma - Mechanical Engineering, Schakel - Werktuigkunde","2018 - 2019, 2024 - 2025",Transfo Solve Coupled F(2); Transfo Solve Coupled Sol; Footpr F
H04U3A,Numerical Modelling in Mechanical Engineering,Oefenzittingen,Verslagen & Projecten,11,0.09,Ma - Mechanical Engineering,2025 - 2026,Bibliografie; Main; 00titlepage
H04U3A,Numerical Modelling in Mechanical Engineering,Samenvattingen,Overig / Other,20,173.53,"Ma - Mechanical Engineering, Schakel - Werktuigkunde","2017 - 2018, 2018 - 2019, 2022 - 2023, 2023 - 2024",Fdfv+fem Artoerio; Excercises Fdfv (simon Beelen); Mit Von Neumann
H04U3A,Numerical Modelling in Mechanical Engineering,Samenvattingen,Slides / Lesmateriaal,15,51.1,"Ma - Mechanical Engineering, Schakel - Werktuigkunde","2018 - 2019, 2024 - 2025",Sem3 Slides; Lecture 1 Fdfv; Lecture 2 Fdfv
H04U3A,Numerical Modelling in Mechanical Engineering,Samenvattingen,Samenvattingen,3,11.26,Ma - Mechanical Engineering,"2023 - 2024, 2025 - 2026",Finite Difference & Finite Volume Modelling Summary Roel Peetermans; Samenvatting Nummodelling Fd Fv (lukasvandenbroeck); Samenvatting Nummodelling Fem (lukasvandenbroeck)
H04V3A,Additive Manufacturing,Examens,Examens,1,7.2,Ma - Biomedical Engineering,2022 - 2023,Examenvragen Annelien Eyskens
H04V3A,Additive Manufacturing,Samenvattingen,Samenvattingen,2,77.36,Ma - Biomedical Engineering,"2022 - 2023, 2023 - 2024",Am Notes Annelien Eyskens; Additive Manufacturing Anki Flashcards (2024 2025)
H04V3A,Additive Manufacturing,Samenvattingen,Overig / Other,1,2.78,Ma - Biomedical Engineering,2022 - 2023,Overview Part 1 Annelien Eyskens
H04V3A,Additive Manufacturing,Samenvattingen,Slides / Lesmateriaal,9,14.63,Ma - Biomedical Engineering,2025 - 2026,Lecture 10 Production And Properties Of Lattice Structures; Lecture 1 Introduction; Lecture 2 Am Of Polymers
H04V5A,Deterministic Decision Models,Examens,Examens,4,1.45,Schakel - Werktuigkunde,2018 - 2019,Wp 20160114 001; Wp 20160114 002; Wp 20160114 003
H04V5A,Deterministic Decision Models,Oefenzittingen,Oefenzittingen,2,13.71,Schakel - Werktuigkunde,2018 - 2019,Ddm Oefenzitting 1; Ddm Oefenzitting 2
H04V5A,Deterministic Decision Models,Samenvattingen,Overig / Other,8,38.36,Schakel - Werktuigkunde,2018 - 2019,201510211527; Ddm Joris; Deterministic Wr
H04V5A,Deterministic Decision Models,Samenvattingen,Slides / Lesmateriaal,6,2.9,Schakel - Werktuigkunde,2018 - 2019,Chapter 1 And 3 Introduction; Chapter 4 The Simplex Algorithm; Chapter 6 Sensitivity And Duality
H04W0A,Production Machines and Systems,Examens,Examens,3,5.36,Ma - Mechanical Engineering,"2021 - 2022, 2023 - 2024",Examenvragen Computer Integrated Production; Exam 31 1 22; Exam Answers (brecht De Cock)
H04W0A,Production Machines and Systems,Samenvattingen,Samenvattingen,2,2.29,"Ma - Biomedical Engineering, Ma - Mechanical Engineering","2022 - 2023, 2023 - 2024",Production Machines And Systems Summary Dennisjouhannet; Samenvattingpms
H04W6A,Aircraft Performance and Stability,Examens,Examens,4,0.2,Ma - Mechanical Engineering,"2017 - 2018, 2019 - 2020, 2020 - 2021",Ap&s Iii August 2020 1; Ex2 Lesson7; Ex Lesson7
H04W6A,Aircraft Performance and Stability,Oefenzittingen,Oefenzittingen,1,2.02,Ma - Mechanical Engineering,2020 - 2021,H04w6 Exercises Parti Written Solutions
H04W6A,Aircraft Performance and Stability,Oefenzittingen,Labo & Code,18,0.01,Ma - Mechanical Engineering,2020 - 2021,Oef3 11p316; Oef3 13p316; Oef3 3p244
H04W6A,Aircraft Performance and Stability,Samenvattingen,Samenvattingen,2,3.51,Ma - Mechanical Engineering,2017 - 2018,[aps] Afleidingen Formularium; Notes Flight Dynamics
H04W6A,Aircraft Performance and Stability,Samenvattingen,Overig / Other,6,33.43,Ma - Mechanical Engineering,"2017 - 2018, 2020 - 2021","[duane Mcruer, Dunstan Graham, Irving Ashkenas] Ai(bookos Org); [staticstability] Oefeningen Lennert; Oef3 11p316"
H04X3A,Control Theory,Samenvattingen,Samenvattingen,1,9.31,Schakel - Werktuigkunde,2018 - 2019,Nota's Dries Regeltechniek
H04X3B,Systems and Control Theory,Examens,Examens,12,10.14,Ma - Mechanical Engineering,"2013 - 2014, 2016 - 2017, 2017 - 2018, 2023 - 2024",2013 01 14 H04x3a Control Theory; Comp Continuous Discrete Time Ex5 2; Digital Implementation Of Feedback Compensators
H04X3B,Systems and Control Theory,Oefenzittingen,Oefenzittingen,35,24.99,Ma - Mechanical Engineering,"2017 - 2018, 2018 - 2019, 2019 - 2020",Oude Opgaven; Oude Oplossingen; Solution Session1
H04X3B,Systems and Control Theory,Oefenzittingen,Labo & Code,813,5.3,Ma - Mechanical Engineering,"2017 - 2018, 2018 - 2019",Drawellipsecart; Kalman Session 6 Tot4jm; Regeltechniek Oefenzitting 6 7
H04X3B,Systems and Control Theory,Samenvattingen,Overig / Other,13,66.49,Ma - Mechanical Engineering,"2013 - 2014, 2017 - 2018, 2018 - 2019, 2023 - 2024","Exercise Session; Exercise Session67; Gene F Franklin, J Da Powell, Et Al , Feedback Control Of Dynamic Systems (2014)"
H04X3B,Systems and Control Theory,Samenvattingen,Samenvattingen,3,11.83,Ma - Mechanical Engineering,"2017 - 2018, 2018 - 2019, 2025 - 2026",Index Cursus Systems Theory; Sa Formularium; Systems Theory Summary Roel Peetermans
H04X3B,Systems and Control Theory,Samenvattingen,Slides / Lesmateriaal,25,33.32,Ma - Mechanical Engineering,"2017 - 2018, 2019 - 2020, 2024 - 2025",Lecture C10 Optimal Control And Optimal Estimation; Lecture C1 Introduction To Control And The To The Control Theory Course; Lecture C2 Time Responses Of Continuous Time Systems
H04X5A,Spacecraft Technology and Space Environment,Oefenzittingen,Oefenzittingen,1,0.98,Ma - Mechanical Engineering,2020 - 2021,[solution Manual] Orbital Mechanics For Engineering Students Solutions By Howard D Curtis (z Lib Org)
H04X5A,Spacecraft Technology and Space Environment,Samenvattingen,Overig / Other,3,6.52,Ma - Mechanical Engineering,"2015 - 2016, 2017 - 2018, 2020 - 2021",Ex 22 Jan 2016; Excercise 7 Swing By; Orbitalmechanicsforengineeringstudents Aerospaceengineering
H04X7A,Sensors and Measurements Systems,Examens,Examens,1,0.2,Ma - Mechanical Engineering,2020 - 2021,Sms Exam 2020 06 13
H04X7A,Sensors and Measurements Systems,Oefenzittingen,Oefenzittingen,28,63.43,Ma - Mechanical Engineering,"2013 - 2014, 2014 - 2015, 2017 - 2018",Sensors Oefeningen Andries; Dsc 0139 (exemplaar Met Conflict Van Lerten Viroux 2015 06 16); Dsc 0139
H04X7A,Sensors and Measurements Systems,Samenvattingen,Overig / Other,8,40.11,Ma - Mechanical Engineering,"2017 - 2018, 2018 - 2019, 2025 - 2026",Dsc 0146; Dsc 0149; Dsc 0150
H04X7A,Sensors and Measurements Systems,Samenvattingen,Samenvattingen,6,34.77,Ma - Mechanical Engineering,"2015 - 2016, 2017 - 2018, 2021 - 2022, 2022 - 2023, 2023 - 2024",Formularium Sensoren&meetsystemen; S M Formularium Pieter Smet; Samenvatting Sensorenmeetsystemen (lukasvandenbroeck)
H04Y2A,Reliability of Mechanical Systems,Examens,Examens,1,0.01,Ma - Mechanical Engineering,2017 - 2018,Reliability Of Mechanical Systems Examenvragen
H04Y6A,"Turbomachinery, Part 2",Examens,Examens,1,79.99,Ma - Energy,2022 - 2023,Turbomachinery Part 2 Answered Exam Questions(2022 2023) Jarne Van Bogaert
H04Y6A,"Turbomachinery, Part 2",Samenvattingen,Slides / Lesmateriaal,9,31.51,Ma - Energy,2018 - 2019,Tm Ii P Hendrick Blades And Disks Mechanical Design Tekst; Tm Ii P Hendrick Blades And Disks Mechanical Design Figures; Turbomachinery Ii Kul Part 1 V1
H04Y6A,"Turbomachinery, Part 2",Samenvattingen,Overig / Other,5,10.09,Ma - Mechanical Engineering,2017 - 2018,Turbines Mech Deel Figuren; Turbines Mech Deel Tekst; Turbomachinery Ii Kul Part 1 Figures
H04Y7A,Turbulence,Samenvattingen,Overig / Other,1,7.34,Ma - Mechanical Engineering,2020 - 2021,Turb Turbulent Flows Pope
H04Z5A,Combustion,Examens,Examens,1,0.01,Ma - Mechanical Engineering,2019 - 2020,H04z5a Thermochemische Conversie Examen Juni 2020(1)
H04Z5A,Combustion,Oefenzittingen,Verslagen & Projecten,1,1.51,Ma - Mechanical Engineering,2020 - 2021,Paper Helsen Bosmans Elfm Wte (interessant Miss)
H04Z5A,Combustion,Samenvattingen,Overig / Other,14,22.28,Ma - Mechanical Engineering,2020 - 2021,Abosmans Elfm2013 Avoiding Tar Problems; Elfm Iv Nagon Lhelsen Advanced Waste To Resources By Plasma Gasification; Jclepro Bosmans Elfm Wte Review 2012
H04Z5A,Combustion,Samenvattingen,Slides / Lesmateriaal,9,91.15,Ma - Mechanical Engineering,2020 - 2021,Les 1; Les 2; Les 3
H04Z8A,Aircraft Engines,Examens,Examens,5,42.77,Ma - Mechanical Engineering,"2017 - 2018, 2024 - 2025",Engines Oplos Examen Vrg Deel1; Engines Oplos Examen Vrg Deel2; Engines Oplos Examen Vrg Deel3
H04Z8A,Aircraft Engines,Oefenzittingen,Oefenzittingen,85,91.68,Ma - Mechanical Engineering,2017 - 2018,Aircraft Engines Oefenzitting 10 001; Aircraft Engines Oefenzitting 10 002; Aircraft Engines Oefenzitting 10 003
H04Z8A,Aircraft Engines,Samenvattingen,Overig / Other,9,49.81,Ma - Mechanical Engineering,2017 - 2018,1425561 10151930335034500 1132121889 N (1); 1425561 10151930335034500 1132121889 N; 1426231 10151930337474500 1684624559 N
H04Z8A,Aircraft Engines,Samenvattingen,Samenvattingen,89,312.69,Ma - Mechanical Engineering,"2017 - 2018, 2018 - 2019, 2019 - 2020, 2023 - 2024, 2024 - 2025",Ae Formularium; Aircraft Propulsion Koeling Van Turbines (tekst); Alternatieve Afleiding Hugoniot
H05A0A,Analysis of Digital Communication Systems,Examens,Examens,1,0.01,Ma - Electrical Engineering,2017 - 2018,Examen
H05A0A,Analysis of Digital Communication Systems,Oefenzittingen,Oefenzittingen,47,31.72,Ma - Electrical Engineering,"2017 - 2018, 2018 - 2019, 2019 - 2020",! !!! H05b5a Voorbeeldvragen; H05b5a Voorbeeldvragen; 0readme S
H05A0A,Analysis of Digital Communication Systems,Samenvattingen,Overig / Other,12,14.0,Ma - Electrical Engineering,"2017 - 2018, 2020 - 2021",0readme S; Atitle&preface&contents Us 8ed S; Chapter1 S
H05D3A,Computer Architectures,Examens,Examens,1,0.03,Ma - Electrical Engineering,2017 - 2018,Examenvragen Computerarchitecturen
H05D3A,Computer Architectures,Samenvattingen,Overig / Other,5,34.63,Ma - Electrical Engineering,"2017 - 2018, 2018 - 2019, 2019 - 2020","1; Ca Cheat Sheet Ellen Anthonissen; Computer Organization And Design The Hardwaresoftware Interface 5th Edition With All Appendices And Advanced Material By David A Patterson, John L Hennessy"
H05D3A,Computer Architectures,Samenvattingen,Samenvattingen,4,13.09,Ma - Electrical Engineering,"2017 - 2018, 2018 - 2019",Ca Samenvatting Ellen Anthonissen; Cheatsheet; Cheatsheet2
H05D3A,Computer Architectures,Samenvattingen,Slides / Lesmateriaal,8,61.51,Ma - Electrical Engineering,2017 - 2018,H05d5 Part1; H05d5 Part2; H05d5 Part3
H05D7A,Computer-Aided IC Design,Samenvattingen,Overig / Other,6,22.17,Ma - Electrical Engineering,"1993 - 1994, 2004 - 2005, 2005 - 2006, 2007 - 2008, 2018 - 2019",Alps Gecco 2006; Andrei Vladimirescu The Spice Book Wiley (1994); Chapter3 Badargolu Tcad 2005
H05D7A,Computer-Aided IC Design,Samenvattingen,Slides / Lesmateriaal,2,98.95,Ma - Electrical Engineering,"2018 - 2019, 2023 - 2024",Cadic Annotated Slides; Caicd All Slides 2023
H05D7A,Computer-Aided IC Design,Samenvattingen,Samenvattingen,1,0.83,Ma - Electrical Engineering,2024 - 2025,Caic Samenvatting Robbe Robbe
H05E1B,Cryptography and Network Security,Examens,Examens,2,0.11,"Ma - Computer Science, Ma - Electrical Engineering","2017 - 2018, 2020 - 2021",Examen Cursus; Snci Exam Questions
H05E1B,Cryptography and Network Security,Oefenzittingen,Oefenzittingen,2,4.45,Ma - Computer Science,2019 - 2020,Example Assignment; Snci 2020 Assignment 1
H05E1B,Cryptography and Network Security,Samenvattingen,Overig / Other,42,42.57,"Ma - Computer Science, Ma - Electrical Engineering","2017 - 2018, 2020 - 2021, 2021 - 2022",General Course Information; Keyestablishmentprotocols Writing Out; 20130429 Introduction Belgian Eid Cards
H05E1B,Cryptography and Network Security,Samenvattingen,Slides / Lesmateriaal,12,8.85,Ma - Electrical Engineering,"2015 - 2016, 2017 - 2018",01 Information Security Trends And Issues; 02 Basic Concepts Cryptography; 03 Symmetric Algortihms For Configentiality
H05E3A,Design of Analog and Mixed-Signal Integrated Circuits,Examens,Examens,4,2.02,Ma - Electrical Engineering,"2019 - 2020, 2021 - 2022, 2024 - 2025",Damsic Exam Questions 2022 (robin Geens); Damsic Exam Questions(2020); Damsic Exam Questions(2025)
H05E3A,Design of Analog and Mixed-Signal Integrated Circuits,Samenvattingen,Overig / Other,8,124.38,Ma - Electrical Engineering,2019 - 2020,"[mike Wens, Michiel Steyaert (auth )] Design And Implementation Of Fully Integrated Inductive Dc Dc Converters In Standard Cmos; Analog Design Essentials (the Springer International Series In Engineering And Computer Science) By Willy Sansen; Analog To Digital Conversion By Marcel Pelgrom (auth )"
H05E3A,Design of Analog and Mixed-Signal Integrated Circuits,Samenvattingen,Slides / Lesmateriaal,16,439.36,Ma - Electrical Engineering,2019 - 2020,Introduction; Fully Differential Otas And Common Mode Feedback; Ms 3 Topic10 (a)dc(a)dc V32 1920 R(1)
H05F1A,Digital Signal Processing for Communications and Information Systems,Examens,Examens,11,6.07,Ma - Electrical Engineering,"2018 - 2019, 2019 - 2020, 2020 - 2021, 2021 - 2022, 2024 - 2025",Dsp Cis Examenvragen Ellen Anthonissen; Exam Dsp Cis 20 01 2020; Exam 10aug2020
H05F1A,Digital Signal Processing for Communications and Information Systems,Samenvattingen,Samenvattingen,9,7.97,Ma - Electrical Engineering,"2017 - 2018, 2019 - 2020",Dsp Cursus Adaptive Filters; Chapter 1 7; Chapter1
H05F1A,Digital Signal Processing for Communications and Information Systems,Samenvattingen,Overig / Other,1,4.21,Ma - Electrical Engineering,2019 - 2020,Filterbanks
H05F1A,Digital Signal Processing for Communications and Information Systems,Samenvattingen,Slides / Lesmateriaal,15,35.62,Ma - Electrical Engineering,2020 - 2021,Ch1; Ch10; Ch11
H05F7A,Measurement Systems,Examens,Examens,1,0.6,Ma - Electrical Engineering,2025 - 2026,Exam Questions Answered Tuur
H05F7A,Measurement Systems,Samenvattingen,Overig / Other,1,10.25,Ma - Electrical Engineering,2004 - 2005,John P Bentley Principles Of Measurement Systems Pearson Prentice Hall (2005)
H05H2A,Compute Platforms for AI and Embedded Processing,Examens,Examens,4,17.51,Ma - Electrical Engineering,"2020 - 2021, 2022 - 2023, 2024 - 2025",Compute Platforms For Ai And Embedded Processing Exam Questions; Cpaep Examenvragen Robbe Robbe; Exam Questions 22 23 (robin Geens)
H05H2A,Compute Platforms for AI and Embedded Processing,Samenvattingen,Overig / Other,1,2.09,Ma - Electrical Engineering,2021 - 2022,Cpai Examquestions 2022
H05I7A,Stochastic Signal and System Analysis,Examens,Examens,6,841.35,Ma - Electrical Engineering,2020 - 2021,Exam Feedback Bb Collaborate — Mozilla Firefox 2021 07 05 10 02 16 Part01; Exam Feedback Bb Collaborate — Mozilla Firefox 2021 07 05 10 02 16 Part02; Exam Feedback Bb Collaborate — Mozilla Firefox 2021 07 05 10 02 16 Part03
H05I7A,Stochastic Signal and System Analysis,Oefenzittingen,Oefenzittingen,9,7.3,Ma - Electrical Engineering,2013 - 2014,Oplossingen; Oz1 Opgave; Oz2 Opgave
H05I7A,Stochastic Signal and System Analysis,Samenvattingen,Overig / Other,1,0.16,Ma - Electrical Engineering,2020 - 2021,Stochastic Examjun2021
H05J1A,Technology for Microelectronics,Oefenzittingen,Oefenzittingen,6,6.14,Ma - Electrical Engineering,2017 - 2018,H05j2a 1 Pg 2012; H05j2a 1 Pg 2012 Solutions; H05j2a 2 Pg 2012
H05J1A,Technology for Microelectronics,Samenvattingen,Overig / Other,7,34.15,Ma - Electrical Engineering,"2017 - 2018, 2019 - 2020",Chaptersmicrotechnology; Chaptersmicrotechnologytitels; Chaptersmicrotechnologytitels
H05J1A,Technology for Microelectronics,Samenvattingen,Samenvattingen,1,1.32,Ma - Electrical Engineering,2024 - 2025,Tme Samenvatting Robbe Robbe
H05J1A,Technology for Microelectronics,Samenvattingen,Slides / Lesmateriaal,14,238.36,Ma - Electrical Engineering,"2018 - 2019, 2019 - 2020",Tech For Microelectronics Chapter 1 And 2; Tech For Microelectronics Chapter 3 And 4; Tech For Microelectronics Chapter 5
H05K2A,"Antennas for PCBs, Microelectronics and Nanotechnology",Examens,Examens,1,0.87,Ma - Electrical Engineering,2024 - 2025,Antennas Examenvragen Robbe Robbe
H05K2A,"Antennas for PCBs, Microelectronics and Nanotechnology",Oefenzittingen,Oefenzittingen,23,18.83,Ma - Electrical Engineering,"2017 - 2018, 2019 - 2020",Ex2; Ex2 Pptx; Ex3 Array Pptx
H05K2A,"Antennas for PCBs, Microelectronics and Nanotechnology",Oefenzittingen,Verslagen & Projecten,4,74.44,Ma - Electrical Engineering,2019 - 2020,2015 Book Engineeringelectromagnetics; Advanced Em Lecture; Antenna Theory Analysis
H05K2A,"Antennas for PCBs, Microelectronics and Nanotechnology",Samenvattingen,Overig / Other,10,5.1,Ma - Electrical Engineering,"2017 - 2018, 2019 - 2020",2013 06 1 Q2; 2013 06 1 Q2 Doc; Electromagnetics
H05K2A,"Antennas for PCBs, Microelectronics and Nanotechnology",Samenvattingen,Slides / Lesmateriaal,25,36.59,Ma - Electrical Engineering,"2017 - 2018, 2019 - 2020",A Short Note On Travelling Wave Antenna; Hertz Dipole Radiation; Introduction
H05K2A,"Antennas for PCBs, Microelectronics and Nanotechnology",Samenvattingen,Samenvattingen,2,0.29,Ma - Electrical Engineering,2017 - 2018,Formularium; Formularium
H05K3A,Freight Transport Management,Examens,Examens,1,0.18,Ma - Mobility and Supply Chain Engineering,2020 - 2021,Topics 2021
H05K3A,Freight Transport Management,Samenvattingen,Samenvattingen,1,12.85,Ma - Mobility and Supply Chain Engineering,2021 - 2022,Summary Stijn Tonnelier
H05K3A,Freight Transport Management,Samenvattingen,Slides / Lesmateriaal,7,21.32,Ma - Mobility and Supply Chain Engineering,2021 - 2022,Ftm 1 The General Context; Ftm 2 Outsourcing; Ftm 3 Location And Infrastructure
H05L7A,Vernieuwbouw van structuren,Examens,Examens,3,7.54,"Ma - Architectuur, Ma - Civil Engineering","2022 - 2023, 2025 - 2026",Examenvragen Opgelost Benjacobs; Samenvatting En Examenvragen Vernieuwbouw Yoana; Sint Jaboskerk Examenvragen
H05L7A,Vernieuwbouw van structuren,Samenvattingen,Samenvattingen,19,20.7,"Ma - Architectuur, Ma - Civil Engineering","2019 - 2020, 2022 - 2023, 2023 - 2024",Samenvatting Vernieuwbouw Juni 2020; Samenvatting Vernieuwbouw Handboek Benjacobs; Samenvatting Vernieuwbouw Benjacobs
H05L7A,Vernieuwbouw van structuren,Samenvattingen,Overig / Other,4,21.47,"Ma - Architectuur, Ma - Civil Engineering","2020 - 2021, 2025 - 2026",Vernieuwbouw Les 0805 Les Volgend Op 2404 Bram; Vernieuwbouw Les 2 Bram; Vernieuwbouw Les 2404 Bram
H05L7A,Vernieuwbouw van structuren,Samenvattingen,Slides / Lesmateriaal,3,4.46,Ma - Civil Engineering,2022 - 2023,Ros Summary Chapter 10 Guest Lecture 3; Ros Summary Chapter 8 Guest Lecture 1; Ros Summary Chapter 9 Guest Lecture 2
H05T0A,Electromagnetic Propagation,Examens,Examens,1,0.41,Ma - Electrical Engineering,2017 - 2018,Examen 21 Juni 2013
H05T0A,Electromagnetic Propagation,Oefenzittingen,Oefenzittingen,5,2.98,Ma - Electrical Engineering,"2017 - 2018, 2018 - 2019",Emp Exercises Bertold; Ex1; Ex2
H05T0A,Electromagnetic Propagation,Samenvattingen,Overig / Other,19,67.38,Ma - Electrical Engineering,"2017 - 2018, 2018 - 2019, 2025 - 2026",18 Pathloss; 2016 Book Propagationengineeringinwirele; Ep Previoussmallexamquestions 2025 B Schoepen
H05T0A,Electromagnetic Propagation,Samenvattingen,Samenvattingen,1,2.42,Ma - Electrical Engineering,2018 - 2019,A Student S Guide To Maxwell S Equations
H05T0A,Electromagnetic Propagation,Samenvattingen,Slides / Lesmateriaal,16,21.5,Ma - Electrical Engineering,"2015 - 2016, 2016 - 2017, 2017 - 2018",Exercise 1; Exercise 2 (exemplaar Met Conflict Van Bart Swungs 2017 01 14); Exercise 2
H05V3A,Aircraft Structures,Examens,Examens,2,5.92,Ma - Mechanical Engineering,2025 - 2026,Reconstructie Vliegtuigconstructies 20260605; Vliegtuigconstructies Examenvragen
H05V3A,Aircraft Structures,Oefenzittingen,Oefenzittingen,1,22.92,Ma - Mechanical Engineering,2023 - 2024,Oefeningen Vliegtuigconstructies (lukasvandenbroeck)
H05V3A,Aircraft Structures,Samenvattingen,Samenvattingen,14,88.62,Ma - Mechanical Engineering,"2023 - 2024, 2025 - 2026",Samenvatting Vliegtuigconstructies (lukasvandenbroeck); Vliegtuigconstructies Hc 1; Vliegtuigconstructies Hc 10
H05V3A,Aircraft Structures,Samenvattingen,Overig / Other,7,26.68,Ma - Mechanical Engineering,2023 - 2024,Les 1 Opbouw Van Een Vliegtuigconstructie; Les 10 Spanningsgebaseerde Vermoeiingsanalyse; Les 12 Uitvoeringspraktijk
H06A1A,Advanced Nano-Electronic Components,Samenvattingen,Samenvattingen,1,79.51,"Ma - Nanoscience, -technology and -engineering",2022 - 2023,Adv Nanodevices Notes Senne Vervoort 2022
H06A1A,Advanced Nano-Electronic Components,Samenvattingen,Overig / Other,2,0.07,"Ma - Nanoscience, -technology and -engineering",2022 - 2023,Copia De Nanodevices Table; Nanodevices Table
H06A1A,Advanced Nano-Electronic Components,Samenvattingen,Slides / Lesmateriaal,19,218.44,"Ma - Nanoscience, -technology and -engineering",2022 - 2023,1 Bs Quantumconfinedsystems; 2 Bs Tunnelingtransportdevices; 3 Dv Tfet1
H06A3A,Analog and Mixed-Signal Electronics for Signal Processing,Examens,Examens,8,0.63,Ma - Electrical Engineering,"2017 - 2018, 2018 - 2019, 2019 - 2020",Amsesp Exam 20 01 20; Analog & Mixed Signal Electronics Exam 10 01 2020; Examen Analoge Bouwblokken 21 1 2019 Vm
H06A3A,Analog and Mixed-Signal Electronics for Signal Processing,Oefenzittingen,Oefenzittingen,18,60.52,Ma - Electrical Engineering,"2019 - 2020, 2021 - 2022, 2023 - 2024",Ch1 Intro; Ch1 Intro Sol; Ch2 Noise Mismatch Distortion
H06A3A,Analog and Mixed-Signal Electronics for Signal Processing,Samenvattingen,Overig / Other,5,113.58,Ma - Electrical Engineering,"2017 - 2018, 2018 - 2019, 2019 - 2020",9789400714359 C2; Analog Building Blocks Complete Vivek Roy; Ex8 Pll Oscillatoren Sol
H06A3A,Analog and Mixed-Signal Electronics for Signal Processing,Samenvattingen,Samenvattingen,2,12.16,Ma - Electrical Engineering,2017 - 2018,Abs Dc Dc Conversion Notities; Formularium En
H06A6A,Chemistry at Nanometre Scale,Oefenzittingen,Oefenzittingen,1,4.89,"Ma - Nanoscience, -technology and -engineering",2025 - 2026,"Sessions 1 And 2 (2025 2026, Victordaniels)"
H06A6A,Chemistry at Nanometre Scale,Samenvattingen,Overig / Other,1,0.08,"Ma - Nanoscience, -technology and -engineering",2022 - 2023,Nanochem Sensors Experiments
H06B0A,Superconductivity,Samenvattingen,Slides / Lesmateriaal,1,1.7,"Ma - Nanoscience, -technology and -engineering",2022 - 2023,Superconductivity Lecture Notes Senne Vervoort
